Ref	x	y	Connectivity	Point First Moment	Point Second Moment	Visual Integration [HH]	conn	integ
8323098	416	-16	156	7127.7417	419632	2.7936354	4	1.254827
8323099	416	-12	143	6431.1572	382064	2.8937511	4	1.254827
8323116	416	56	98	3193.9336	137216	2.9463506	7	1.785715
8323117	416	60	102	3502.885	163040	2.9415977	7	1.785715
8323118	416	64	110	4337.4385	229216	2.954705	7	1.785715
8323132	416	120	86	2986.5525	146320	2.6225486	9	1.820729
8323133	416	124	100	4315.9917	268720	2.6374047	9	1.820729
8323134	416	128	72	2815.8223	185296	2.6285341	9	1.820729
8323138	416	144	46	906.42999	23040	2.3705499	3	1.4285721
8323139	416	148	44	781.19751	18432	2.3700364	3	1.4285721
8323140	416	152	38	590.18494	11808	2.3682408	3	1.4285721
8323163	416	244	199	18920.764	2659232	3.1354845	5	1.3655469
8323164	416	248	188	16121.912	2015904	3.1363833	5	1.3655469
8388623	420	-60	102	4560.8477	300352	2.3234811	4	1.067324
8388624	420	-56	103	4326.8359	264736	2.3205245	4	1.067324
8388625	420	-52	109	4499.252	259344	2.3220019	4	1.067324
8388633	420	-20	95	3832.3713	216512	2.5985684	4	1.238096
8388634	420	-16	163	7657.7964	466432	2.9064345	4	1.238096
8388635	420	-12	173	8277.7324	516000	2.9103	6	1.473923
8388636	420	-8	125	5768.8857	358848	2.7058916	6	1.473923
8388651	420	52	101	3130.4072	123984	2.7295179	7	1.785715
8388652	420	56	95	2907.9937	117376	2.7274768	7	1.785715
8388653	420	60	102	3632.5427	177152	2.9523132	7	1.785715
8388654	420	64	108	4272.8008	227328	2.9539073	7	1.785715
8388668	420	120	84	3026.2583	153024	2.6219201	9	1.820729
8388669	420	124	89	3572.8472	206912	2.6339126	9	1.820729
8388670	420	128	91	4118.9927	282288	2.6345468	9	1.820729
8388671	420	132	42	713.13721	15392	2.3970366	9	1.820729
8388674	420	144	46	984.40271	27568	2.3705499	3	1.4285721
8388675	420	148	44	850.65668	22416	2.3700364	3	1.4285721
8388676	420	152	38	624.05878	13872	2.3682408	3	1.4285721
8388699	420	244	199	19242.301	2761120	3.1354845	5	1.3655469
8388700	420	248	191	16981.457	2219600	3.1381824	5	1.3655469
8454159	424	-60	102	4349.1445	271856	2.3234811	4	1.067324
8454160	424	-56	101	4014.4182	230656	2.3200324	4	1.067324
8454161	424	-52	104	4080.0254	224336	2.3207705	4	1.067324
8454169	424	-20	115	4591.3711	252672	2.6069272	4	1.238096
8454170	424	-16	171	8202.4365	511792	2.9095261	4	1.238096
8454171	424	-12	177	8542.0986	536736	2.911849	6	1.473923
8454172	424	-8	93	3154.0168	152912	2.5998034	6	1.473923
8454173	424	-4	67	2193.4441	106336	2.4667506	6	1.473923
8454174	424	0	64	2055.9038	94704	2.4659169	6	1.473923
8454187	424	52	100	2875.7944	105472	2.7267969	7	1.785715
8454188	424	56	99	3018.0996	121520	2.7271369	7	1.785715
8454189	424	60	103	3743.6133	186640	2.951915	7	1.785715
8454205	424	124	81	3123.0911	173664	2.6209781	9	1.820729
8454206	424	128	94	4289.2671	290864	2.6354988	9	1.820729
8454207	424	132	77	3309.5684	237056	2.6301136	9	1.820729
8454208	424	136	41	674.28748	14752	2.3967738	9	1.820729
8454211	424	148	41	828.35291	23168	2.3692665	3	1.4285721
8454212	424	152	39	689.75439	17264	2.3684971	3	1.4285721
8454213	424	156	26	330.45911	5072	2.0062845	3	1.4285721
8454235	424	244	201	20171.883	3019536	3.1363833	5	1.3655469
8454236	424	248	197	18385.961	2530144	3.1408849	5	1.3655469
8454237	424	252	175	14139.794	1664528	3.0686505	5	1.3655469
8519695	428	-60	101	4127.1196	245488	2.3232346	4	1.067324
8519696	428	-56	99	3773.9985	206608	2.3195405	4	1.067324
8519697	428	-52	100	3742.1499	195776	2.3197865	4	1.067324
8519705	428	-20	83	2710.8677	128304	2.3978245	4	1.238096
8519706	428	-16	131	6157.2168	394288	2.5862837	4	1.238096
8519707	428	-12	178	8619.1377	545680	2.9122367	6	1.473923
8519708	428	-8	95	3663.1438	194096	2.7612045	6	1.473923
8519709	428	-4	68	2187.1292	103200	2.589344	6	1.473923
8519710	428	0	65	1975.4794	87936	2.4661946	6	1.473923
8519711	428	4	64	1870.7054	77856	2.4659169	6	1.473923
8519712	428	8	62	1736.3904	66320	2.4653611	6	1.473923
8519722	428	48	101	2826.3835	99184	2.7271369	7	1.785715
8519723	428	52	98	2674.8567	94976	2.7257781	7	1.785715
8519724	428	56	109	3369.3979	140480	2.7319033	7	1.785715
8519725	428	60	100	3738.0806	194032	2.9507208	7	1.785715
8519742	428	128	88	3885.9551	250368	2.6335957	9	1.820729
8519743	428	132	91	4501.978	343440	2.6345468	9	1.820729
8519744	428	136	63	2067.3616	132496	2.6256955	9	1.820729
8519745	428	140	46	824.81146	20496	2.3980873	9	1.820729
8519746	428	144	39	685.19531	15408	2.1348825	9	1.820729
8519747	428	148	40	897.27039	27728	2.3684971	3	1.4285721
8519748	428	152	40	778.6759	21904	2.36901	3	1.4285721
8519749	428	156	35	577.71857	12336	2.1315553	3	1.4285721
8519771	428	244	200	20658.955	3199888	3.1359339	5	1.3655469
8519772	428	248	197	18896.762	2688992	3.1408849	5	1.3655469
8519773	428	252	176	14600.458	1785248	3.0690808	5	1.3655469
8585231	432	-60	101	3959.3643	223312	2.3232346	4	1.067324
8585232	432	-56	98	3560.4734	182880	2.3192947	4	1.067324
8585233	432	-52	97	3502.5098	175664	2.3190489	4	1.067324
8585240	432	-24	58	1464.7562	52000	2.2978625	5	1.238096
8585241	432	-20	91	3433.6665	181456	2.4004548	5	1.238096
8585242	432	-16	124	6165.9678	408432	2.5841458	5	1.238096
8585245	432	-4	70	2281.4658	104432	2.5902634	6	1.473923
8585246	432	0	66	2034.6969	89232	2.4664726	6	1.473923
8585247	432	4	64	1839.7266	74704	2.4659169	6	1.473923
